"Property Title","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Property Type","Location","Property Status","Highlights"
"Showroom for sale in Block A Malviya Nagar, Delhi","https://www.99acres.com/showroom-for-sale-in-block-a-malviya-nagar-south-delhi-1800-sq-ft-spid-M83546948","50000000","34482.76","1450","Showroom","Block A Malviya Nagar, Delhi","RESALE","https://imagecdn.99acres.com/media1/30799/6/615986967M-1751860437168.jpg,https://imagecdn.99acres.com/media1/30799/7/615987019M-1751860440109.jpg,https://imagecdn.99acres.com/media1/30799/7/615987087M-1751860439469.jpg,https://imagecdn.99acres.com/media1/30799/7/615987115M-1751860440409.jpg,https://imagecdn.99acres.com/media1/30799/7/615987163M-1751860437144.jpg,https://imagecdn.99acres.com/media1/30799/7/615987169M-1751860436914.jpg,https://imagecdn.99acres.com/media1/30799/7/615987355M-1751860439958.jpg,https://imagecdn.99acres.com/media1/30799/7/615987117M-1751860437231.jpg"
"Ready to move Office Space for sale in Block C, South Extension 2, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-block-c-south-extension-2-south-delhi-1400-sq-ft-spid-A83392188","27500000","19642.86","1400","Office Space","Block C, South Extension 2, Delhi","RESALE",""
"Shop for sale in Lajpat Nagar 2, Delhi","https://www.99acres.com/shop-for-sale-in-lajpat-nagar-2-south-delhi-1530-sq-ft-spid-Y83997116","50000000","32679.74","1530","Shop","Lajpat Nagar 2, Delhi","RESALE",""
"Shop for sale in Lajpat Nagar 2, Delhi","https://www.99acres.com/shop-for-sale-in-lajpat-nagar-2-south-delhi-500-sq-ft-spid-C83996124","27500000","55000","500","Shop","Lajpat Nagar 2, Delhi","RESALE",""
"Ready to move Office Space for sale in Lajpat Nagar 2, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-lajpat-nagar-2-south-delhi-1800-sq-ft-spid-I83985720","30000000","16666.67","1800","Office Space","Lajpat Nagar 2, Delhi","RESALE",""
"Shop for sale in Chandni Chowk, Delhi","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-100-sq-ft-spid-Y83153550","8000000","100000","80","Shop","Chandni Chowk, Delhi","RESALE","https://www.99acres.com/universalapp/img/voulmeOff.png,https://static.99acres.com/universalapp/img/toapzImage.png,https://imagecdn.99acres.com/media1/30471/13/609433491M-1750413101781.jpg"
"Shop for sale in Block E Greater Kailash 2, Delhi","https://www.99acres.com/shop-for-sale-in-block-e-greater-kailash-2-south-delhi-450-sq-ft-spid-S83984402","25000000","111111.11","225","Shop","Block E Greater Kailash 2, Delhi","RESALE",""
"Ready to move Office Space for sale in Connaught Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-connaught-place-central-delhi-1000-sq-ft-r1-spid-R81644301","31000000","31000","1000","Office Space","Connaught Place, Delhi","RESALE",""
"Shop for sale in Vasant Lok, Delhi","https://www.99acres.com/shop-for-sale-in-vasant-lok-south-delhi-1395-sq-ft-spid-D83124856","350000000","250896.06","1395","Shop","Vasant Lok, Delhi","RESALE","https://imagecdn.99acres.com/media1/30444/9/608889847M-1750323141907.jpg,https://imagecdn.99acres.com/media1/30444/9/608889845M-1750323161122.jpg,https://imagecdn.99acres.com/media1/30444/9/608889841M-1750323148427.jpg,https://imagecdn.99acres.com/media1/30444/9/608889843M-1750323146724.jpg"
"Ready to move Office Space for sale in Block I Chittaranjan Park, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-block-1-chittaranjan-park-south-delhi-1800-sq-ft-r2-spid-Q79120325","20000000","11111.11","1800","Office Space","Block I Chittaranjan Park, Delhi","RESALE","https://imagecdn.99acres.com/media1/26962/9/539249711M-1740908430488.jpg,https://imagecdn.99acres.com/media1/31343/18/626878891T-1754049851199.jpg"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-658-sq-ft-spid-J83990562","13500000","20516.72","658","Office Space","Netaji Subhash Place, Delhi","RESALE",""
"Factory for sale in Okhla Phase 1, Delhi","https://www.99acres.com/factory-for-sale-in-okhla-phase-1-south-delhi-43560-sq-ft-spid-C83838724","900000000","20661.16","43560","Factory","Okhla Phase 1, Delhi","RESALE",""
"Ready to move Office Space for sale in Preet Vihar, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-preet-vihar-east-delhi-3330-sq-ft-r4-spid-T77386129","60000000","18018.02","3330","Office Space","Preet Vihar, Delhi","RESALE",""
"Showroom for sale in Anand Lok, Delhi","https://www.99acres.com/showroom-for-sale-in-rna-super-luxury-builder-floors-anand-lok-south-delhi-6000-sq-ft-r3-spid-H77391609","145000000","29000","5000","Showroom","Anand Lok, Delhi","RESALE","https://imagecdn.99acres.com/media1/25895/0/517900425M-1738849571876.jpg,https://imagecdn.99acres.com/media1/30449/8/608988285T-1750331492985.jpg"
"Showroom for sale in Vikas Marg, Delhi","https://www.99acres.com/showroom-for-sale-in-vikas-marg-east-delhi-600-sq-ft-spid-Q82875292","60000000","100000","600","Showroom","Vikas Marg, Delhi","RESALE",""
"Shop for sale in Nirman Vihar, Delhi","https://www.99acres.com/shop-for-sale-in-nirman-vihar-east-delhi-1060-sq-ft-spid-D82416670","39000000","36792.45","1060","Shop","Nirman Vihar, Delhi","RESALE",""
"Ready to move Office Space for sale in Laxmi Nagar, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-laxmi-nagar-east-delhi-700-sq-ft-r3-spid-N76825507","9000000","12857.14","700","Office Space","Laxmi Nagar, Delhi","RESALE",""
"Commercial plot / Land for sale in Nirman Vihar, Delhi","https://www.99acres.com/commercial-institutional-land-for-sale-in-nirman-vihar-east-delhi-360-sq-yard-r3-spid-N75781571","350000000","98765.43","3240","Commercial plot / Land","Nirman Vihar, Delhi","RESALE",""
"Shop for sale in Sector 12 Dwarka, Delhi","","17500000","35353.54","495","Shop","Sector 12 Dwarka, Delhi","",""
"Bare shell Office Space for sale in Sector 14 Dwarka, Delhi","","24000000","50526.32","475","Office Space","Sector 14 Dwarka, Delhi","",""
"Showroom for sale in Chandni Chowk, Delhi","","3600000","144000","25","Showroom","Chandni Chowk, Delhi","",""
"Ready to move Office Space for sale in Jasola, Delhi","","22200000","31714.29","700","Office Space","Jasola, Delhi","",""
"Bare shell Office Space for sale in Uday Park, Delhi","","20000000","13333.33","1500","Office Space","Uday Park, Delhi","",""
"Ready to move Office Space for sale in Block A Malviya Nagar, Delhi","","19500000","11818.18","1650","Office Space","Block A Malviya Nagar, Delhi","",""
"Ready to move Office Space for sale in Block A Malviya Nagar, Delhi","","21000000","13125","1600","Office Space","Block A Malviya Nagar, Delhi","",""
"Showroom for sale in Block A Malviya Nagar, Delhi","","50000000","34482.76","1450","Showroom","Block A Malviya Nagar, Delhi","",""
"Ready to move Office Space for sale in Block C, South Extension 2, Delhi","","27500000","19642.86","1400","Office Space","Block C, South Extension 2, Delhi","",""
"Shop for sale in Lajpat Nagar 2, Delhi","","50000000","32679.74","1530","Shop","Lajpat Nagar 2, Delhi","",""
"KW Blue Pearl","https://www.99acres.com/kw-blue-pearl-resale-in-karol-bagh-central-delhi-497127-cffid","3300000","","","Shop","Karol Bagh, Delhi","Ready to move","https://static.99acres.com/universalapp/img/defaultProj.png"
"The Omaxe State","https://www.99acres.com/the-omaxe-state-sector-19b-dwarka-delhi-npxid-c428729","6600000","","","Shop","Sector 19B Dwarka, Delhi","Under Construction","https://static.99acres.com/universalapp/img/defaultProj.png"
"Migsun Rohini Central","https://www.99acres.com/migsun-rohini-central-sector-22-rohini-north-delhi-npxid-c421344","4500000","","","Shop","Sector 22 Rohini, Delhi","Under Construction","https://static.99acres.com/universalapp/img/defaultProj.png"
"Omaxe Chandni Chowk","https://www.99acres.com/commercial-property-in-chandni-chowk-central-delhi-ffid","11900000","","","Shop","Chandni Chowk, Delhi","Ready to move","https://static.99acres.com/universalapp/img/defaultProj.png"
