"Property Type","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Location","Posted By"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-tughlakabad-extension-south-delhi-200-sq-ft-spid-Q80361181","4500000","22500","200","Tughlakabad Extension, Delhi, South Delhi","Owner"
"Shop","https://www.99acres.com/shop-for-sale-in-dda-market-west-delhi-220-sq-ft-spid-U83569130","17500000","79545","220","DDA Market, Delhi, West Delhi","Owner"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-kalkaji-south-delhi-2637-sq-ft-spid-F81624167","40000000","20000","2000","Kalkaji, Delhi","Owner"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-qutab-institutional-area-south-delhi-2500-sq-yard-spid-Y83837440","950000000","42222","22500","Qutab Institutional Area, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-greater-kailash-1-south-delhi-1500-sq-ft-spid-G83993346","22500000","15000","1500","Greater Kailash 1, Delhi, South Delhi","Dealer"
"Commercial plot / Land","https://www.99acres.com/agricultural-farm-land-for-sale-in-sawda-north-delhi-2420-sq-yard-spid-T83721192","29700000","1364","21780","Sawda, Delhi, North Delhi","Owner"
"Shop","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-600-sq-ft-spid-V81852340","92000000","153333","600","Chandni Chowk, Delhi","Owner"
"Commercial property","https://www.99acres.com/other-commercial-property-for-sale-in-connaught-place-central-delhi-5850-sq-ft-spid-B83613084","500000000","94017","5850","Connaught Place, Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-aditya-complex-sector-10-dwarka-delhi-300-sq-ft-spid-O83364238","6000000","20000","300","Sector 10 Dwarka, Delhi","Owner"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-city-mall-sector-23-dwarka-delhi-380-sq-ft-spid-Q83398996","6600000","17368","380","Sector 23 Dwarka, Delhi","Dealer"
