"Property Title","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Property Type","Location","Property Status","Highlights"
"Ready to move Office Space for sale in Kirti Nagar, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-kirti-nagar-west-delhi-1800-sq-ft-r3-spid-T77353693","41000000","22778","1800","Office Space","Kirti Nagar, Delhi","RESALE","https://imagecdn.99acres.com/media1/26402/0/528040071M-1739259468262.jpg"
"Ready to move Office Space for sale in Kirti Nagar, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-kirti-nagar-west-delhi-1800-sq-ft-r9-spid-I66341728","32000000","17777","1800","Office Space","Kirti Nagar, Delhi","RESALE","https://imagecdn.99acres.com/media1/28532/10/570650097M-1739884261470.jpg"
"Factory for sale in Kirti Nagar Industrial Area, Delhi","https://www.99acres.com/factory-for-sale-in-kirti-nagar-industrial-area-west-delhi-2385-sq-ft-r8-spid-L63866388","115000000","48218","2385","Factory","Kirti Nagar Industrial Area, Delhi","RESALE","https://imagecdn.99acres.com/media1/28532/10/570650039M-1739884267102.jpg"
"Shop for sale in Rajouri garden, Delhi","https://www.99acres.com/shop-for-sale-in-rajouri-garden-west-delhi-240-sq-ft-r1-spid-Z82113204","30000000","125000","240","Shop","Rajouri garden, Delhi","RESALE",""
"Industrial land / Plot for sale in Mayapuri Industrial Area Phase 1, Delhi","https://www.99acres.com/industrial-land-plot-for-sale-in-mayapuri-industrial-area-phase-1-west-delhi-414-sq-yard-r5-spid-R73638105","130000000","34890","3726","Commercial plot / Land","Mayapuri Industrial Area Phase 1, Delhi","RESALE",""
"Bare shell Office Space for sale in Netaji Subhash Place, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-netaji-subhash-place-north-delhi-550-sq-ft-spid-E83682178","12400000","22500","550","Office Space","Netaji Subhash Place, Delhi","RESALE","https://imagecdn.99acres.com/media1/30912/5/618245127M-1752306825595.jpg"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-400-sq-ft-spid-U83450220","8500000","21250","400","Office Space","Netaji Subhash Place, Delhi","RESALE","https://imagecdn.99acres.com/media1/30757/2/615142191M-1751623096843.jpg"
"Showroom for sale in Connaught Place, Delhi","https://www.99acres.com/showroom-for-sale-in-connaught-place-central-delhi-110000-sq-ft-r7-spid-E68333020","9990000000","133200","75000","Showroom","Connaught Place, Delhi","RESALE",""
"Bare shell Office Space for sale in West Enclave, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-west-enclave-north-delhi-2700-sq-ft-r1-spid-X78761883","70000000","25926","2700","Office Space","West Enclave, Delhi","RESALE","https://imagecdn.99acres.com/media1/26727/13/534553529M-1740810187396.jpg,https://imagecdn.99acres.com/media1/26727/13/534553539M-1740810184514.jpg,https://imagecdn.99acres.com/media1/26727/13/534553593M-1740810183499.jpg,https://imagecdn.99acres.com/media1/26727/13/534553905M-1740810204444.jpg"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-950-sq-ft-spid-M82970136","23700000","26333","900","Office Space","Netaji Subhash Place, Delhi","RESALE","https://imagecdn.99acres.com/media1/30318/11/606371053M-1749731418357.jpg"
"Ready to move Office Space for sale in Pitampura, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-pitampura-north-delhi-650-sq-ft-spid-T84064076","9500000","23750","400","Office Space","Pitampura, Delhi","RESALE",""
"Bare shell Office Space for sale in Okhla Industrial Area, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-okhla-industrial-area-south-delhi-1300-sq-ft-spid-G83102074","16000000","12307","1300","Office Space","Okhla Industrial Area, Delhi","RESALE","https://imagecdn.99acres.com/media1/30422/8/608448721M-1750244428947.jpg"
