area_type,prop_type,transaction,location,Super Area,Status,Property Age,Zoning,Carpet Area,Washroom,Parking,Pantry,Overlooking,Floor,Entrance,Furnishing Status,Plot Area,Plot (L X B),Facing,Available From,Width of Road,Open Sides,ParkingRatio,Water Availability,Hospital,Seats,price_std,area_std,location_cleaned,latitude,longitude
Carpet Area,office space,sale,"landmark cyber park, sector 67 gurgaon",,Ready to Move,,,120 sqft,3,,Wet Pantry/Cafeteria,,1 out of 6,,Furnished,,,,,,,,,,,2800000.0,120.0,sector 67 gurgaon,28.3864052,77.0598046
Carpet Area,showroom,sale,"auric universal square, sector 79 faridabad",,Possession by Dec '27,,,653 sqft,,,,,3 out of 3,,Unfurnished,,,,Dec '27,,,,,,,7000000.0,653.0,sector 79 faridabad,28.3808663,77.3573924
Super Area,office space,sale,east of kailash new delhi,1700 sqft,Ready to Move,,,,3,,,,2 out of 3,,Furnished,,,,,,,,,,,19000000.0,1700.0,east of kailash new delhi,28.5558548,77.2488354
Super Area,office space,sale,nehru place new delhi,1100 sqft,Ready to Move,,,,1,,,,1 out of 5,,Semi-Furnished,,,,,,,,,,,70000000.0,1100.0,nehru place new delhi,28.6074919,77.2173414
Super Area,showroom,sale,kaushambi ghaziabad,785 sqyrd,Ready to Move,10 to 15 years old,,,,,,,1 out of 5,,Unfurnished,,,,,,,,,,,8000000.0,7065.0,kaushambi ghaziabad,28.6452857,77.3243429
Plot Area,land,sale,patparganj new delhi,,,,,,,,,,,,,4842 sqft,,East,,,,,,,,360000000.0,4842.0,patparganj new delhi,28.6328027,77.2197713
Plot Area,land,sale,faridabad faridabad,,,,,,,,,,,,,2403 sqft,,,,,,,,,,50000000.0,2403.0,faridabad faridabad,28.4031478,77.3105561
Super Area,office space,sale,janakpuri district center new delhi,788 sqft,Ready to Move,,,,1,,,,5 out of 9,,Furnished,,,,,,,,,,,11500000.0,788.0,janakpuri district center new delhi,28.6292748,77.0827141
Super Area,showroom,sale,"bhutani avenue 133, sector 133, noida express way noida",518 sqft,Ready to Move,,Commercial,,,,,,1 out of 3,,Unfurnished,,,,,,,,,,,13400000.0,518.0,noida express way noida,28.5706333,77.3272147
Super Area,shop,sale,hauz khas new delhi,200 sqft,Ready to Move,,,,,,,,Ground out of 2,,Unfurnished,,,,,,,,,,,4500000.0,200.0,hauz khas new delhi,28.544997,77.1891506
Super Area,industrial building,sale,phase 2 mayapuri industrial area new delhi,376 sqyrd,Ready to Move,,,,,,,,,,,,,,,,,,,,,46500000.0,3384.0,phase 2 mayapuri industrial area new delhi,28.6328027,77.2197713
Super Area,shop,sale,preet vihar new delhi,160 sqft,Ready to Move,,,,,,,,Ground out of 2,,Semi-Furnished,,,,,,,,,,,6000000.0,160.0,preet vihar new delhi,28.642847,77.2960729
Super Area,shop,sale,rajouri garden new delhi,160 sqyrd,Ready to Move,,,,,,,,Ground out of 2,,Semi-Furnished,,,,,,,,,,,31000000.0,1440.0,rajouri garden new delhi,28.6484714,77.1204602
Carpet Area,office space,sale,"bhutani alphathum, sector 90 noida",,Ready to Move,,,432 sqft,,,,Garden/Park,15 out of 31,,Bareshell,,,East,,,,,,,,4200000.0,432.0,sector 90 noida,28.5122394,77.4142559
Super Area,shop,sale,chiranjiv plaza - ii ghaziabad,212 sqft,Ready to Move,,,,,,,,Ground out of 2,,Unfurnished,,,,,,,,,,,3500000.0,212.0,chiranjiv plaza - ii ghaziabad,28.7749966,77.4586967
Super Area,shop,sale,crossings republik ghaziabad,340 sqft,Ready to Move,5 to 10 years old,,,,,,,Upper Basement out of 2,,Semi-Furnished,,,,,,,,,,,5500000.0,340.0,crossings republik ghaziabad,28.6284686,77.434157
Carpet Area,office space,sale,old rajinder nagar new delhi,,,,,800 sqft,1,,Dry Pantry/Cafeteria,,2 out of 4,,,,,,,,,,,,,13000000.0,800.0,old rajinder nagar new delhi,28.6328027,77.2197713
Super Area,office space,sale,lal kuan ghaziabad,235 sqft,Ready to Move,,,,1,,,,1 out of 4,,Bareshell,,,,,,,,,,,2500000.0,235.0,lal kuan ghaziabad,28.633381,77.4737197
